imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,75.36717120000048,76.3009135000002,37,imgs/4_stim.png,0.0770003486201551,0.9254171863284177,0.23034973949777715,76.5009828000002,76.53437940000003,76.60108430000037,76.63442080000004,e,1.523667999999816,75.55058420000023,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,77.11805470000036,77.81820510000034,38,imgs/4_stim.png,0.023505103500430762,0.694419477521154,0.4263175851429846,78.21843119999994,78.25176650000049,78.26842940000006,78.30178440000054,q,1.7947573999999804,77.30140200000005,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,79.13548300000002,80.00249239999994,39,imgs/2_stim.png,0.07575990723562626,0.863264519549829,0.15089247634978936,80.13594850000027,80.16922220000015,80.21926500000063,80.25259260000075,q,1.396555499999522,79.31884360000004,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,80.7528226000004,81.61984699999994,40,imgs/4_stim.png,0.018469750314454105,0.8666219682260852,0.23965888245970562,81.83664130000034,81.8699815,81.8699815,81.90330930000073,d,1.3523719000004348,80.9362198000008,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,82.33681969999998,82.97041270000045,41,imgs/3_stim.png,0.04581323195947192,0.6265475870824024,0.45477687752806123,83.4039730000004,83.43729600000006,83.47063680000065,83.50403220000044,d,1.460996900000282,82.52025460000004,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,84.02086730000065,84.98798290000013,42,imgs/3_stim.png,0.06761934501246218,0.9531200057898735,0.06875421344479388,85.0213330000006,85.05465000000004,85.1047236000004,85.13806890000069,q,1.5372425000005023,84.20439030000034,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,85.78835810000055,86.55530380000073,43,imgs/1_stim.png,0.04561068488694924,0.760101838364669,0.42682599794533266,86.95546800000011,86.98882260000028,87.0221874000008,87.05555210000057,q,1.796671599999172,85.97171400000025,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,87.80586630000016,88.4227965,44,imgs/4_stim.png,0.07802013849842819,0.613522437154071,0.4619068611523602,88.85628330000054,88.88962860000083,88.95633710000038,88.9897277,q,1.7460472999991907,87.98930270000074,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,89.7733603000006,90.74045150000074,45,imgs/3_stim.png,0.039957650075604485,0.95758307824487,0.3791950752617037,91.09057190000021,91.12407010000061,91.15728160000072,91.19065990000036,q,1.7146648999996614,89.95674780000081,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,91.70761450000009,92.62459290000061,46,imgs/1_stim.png,0.09968350213919304,0.9015918725748258,0.40413184067823726,92.99138430000039,93.02472269999998,93.10816010000053,93.14146830000027,a,1.686206399999719,91.89098470000044,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
